OBJECTID,Address,Parcel,Units,Stories,UniqueID,Building_Name,Complex_Name,Case_Number,Building_Type,Status,Last_Date,Comments,Safety_Comments,Fire_Alarms,Sprinkler,Managing_Company,MFRecyclingStatus,ShapeSTArea,ShapeSTLength,Shape
2058,1817 W John St,4.42015E+11,8,2,242,1817 W John St,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,713.1365967,111.1344589,
2059,1815 W John St,4.42015E+11,8,2,242,1815 W John St,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,639.6461182,106.9885255,
2060,1813 W John St,4.42015E+11,8,2,242,1813 W John St,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,703.1519775,110.5713715,
2061,1809 W John St,4.42015E+11,8,2,242,1809 W John St,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,722.6530762,111.6713959,
2062,1801 W John St,4.42015E+11,4,2,239,1801 W John St,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,623.8323975,105.7846055,
2063,1803 W John St,4.42015E+11,4,2,239,1803 W John St,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,853.7904053,118.8729628,
2064,1805 W John St,4.42015E+11,4,2,239,1805 W John St,Westbury Park,AI07-0038,Complex,,2007/05/21 00:00:00+00,,,,,,Yes,744.3635254,112.6445707,
2065,3702-3716 Balcary Bay,4.12004E+11,8,,,3702-3716 Balcary Bay,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,5614.825806,337.4845668,
2066,3718-3732 Balcary Bay,4.12004E+11,8,,,3718-3732 Balcary Bay,,,,,1970/01/01 00:00:00+00,,,,,,Yes,5523.739746,327.7702434,
2067,1901 Blackthorn Dr,4.52022E+11,,,,1901 Blackthorn Dr,,,,,1970/01/01 00:00:00+00,All Recycling bill sent to 1901 Blackthorn Dr,,,,,Yes,863.5904541,141.279106,
2068,1911 Blackthorn Dr,4.52022E+11,,,,1911 Blackthorn Dr,,,,,1970/01/01 00:00:00+00,All Recycling bill sent to 1901 Blackthorn Dr,,,,,Yes,889.7401123,144.8845472,
2069,1909 Blackthorn Dr,4.52022E+11,,,,1909 Blackthorn Dr,,,,,1970/01/01 00:00:00+00,All Recycling bill sent to 1901 Blackthorn Dr,,,,,Yes,856.5043945,149.1552724,
2070,1907 Blackthorn Dr,4.52022E+11,,,,1907 Blackthorn Dr,,,,,1970/01/01 00:00:00+00,All Recycling bill sent to 1901 Blackthorn Dr,,,,,Yes,806.1726074,138.995549,
2071,1905 Blackthorn Dr,4.52022E+11,,,,1905 Blackthorn Dr,,,,,1970/01/01 00:00:00+00,All Recycling bill sent to 1901 Blackthorn Dr,,,,,Yes,877.1936035,141.6609418,
2072,1903 Blackthorn Dr,4.52022E+11,,,,1903 Blackthorn Dr,,,,,1970/01/01 00:00:00+00,All Recycling bill sent to 1901 Blackthorn Dr,,,,,Yes,840.0487061,140.1543631,
2073,1310 Bluegrass Ln,4.12004E+11,,,,1310 Bluegrass Ln,,,,,1970/01/01 00:00:00+00,,,,,,Yes,1558.564575,193.4885664,
